Rank,Term,P_value,Adj_P,Overlap,Cohort,Library
1,Epidermis Development (GO:0008544),0.0007856794992100311,0.047926449451811896,0,TCGA_PRAD,GO_Biological_Process_2023
2,Short-Chain Fatty Acid Metabolic Process (GO:0046459),0.002996578172872153,0.050559185122527606,0,TCGA_PRAD,GO_Biological_Process_2023
3,Benzene-Containing Compound Metabolic Process (GO:0042537),0.0034952242970889957,0.050559185122527606,0,TCGA_PRAD,GO_Biological_Process_2023
4,Defense Response To Bacterium (GO:0042742),0.004414540647712871,0.050559185122527606,0,TCGA_PRAD,GO_Biological_Process_2023
5,Lipid Oxidation (GO:0034440),0.006482395492037067,0.050559185122527606,0,TCGA_PRAD,GO_Biological_Process_2023
6,Cell Surface Toll-Like Receptor Signaling Pathway (GO:0140895),0.00797295899684864,0.050559185122527606,0,TCGA_PRAD,GO_Biological_Process_2023
7,Toll-Like Receptor 4 Signaling Pathway (GO:0034142),0.00846936628057759,0.050559185122527606,0,TCGA_PRAD,GO_Biological_Process_2023
8,Cellular Response To Unfolded Protein (GO:0034620),0.00846936628057759,0.050559185122527606,0,TCGA_PRAD,GO_Biological_Process_2023
9,Positive Regulation Of Monocyte Chemotaxis (GO:0090026),0.008965550093347357,0.050559185122527606,0,TCGA_PRAD,GO_Biological_Process_2023
10,Regulation Of Granulocyte Chemotaxis (GO:0071622),0.009461510512395743,0.050559185122527606,0,TCGA_PRAD,GO_Biological_Process_2023
1,Malaria,2.1894288219208913e-05,0.0008757715287683566,0,TCGA_STAD,KEGG_2021_Human
2,ECM-receptor interaction,0.00011930877643510573,0.0023861755287021146,0,TCGA_STAD,KEGG_2021_Human
3,Toll-like receptor signaling pathway,0.0001957468568356316,0.002609958091141755,0,TCGA_STAD,KEGG_2021_Human
4,Wnt signaling pathway,0.0007700004546135333,0.007700004546135333,0,TCGA_STAD,KEGG_2021_Human
5,Focal adhesion,0.0013375721435538222,0.010700577148430578,0,TCGA_STAD,KEGG_2021_Human
6,IL-17 signaling pathway,0.004748827879668424,0.027390623505938908,0,TCGA_STAD,KEGG_2021_Human
7,Viral protein interaction with cytokine and cytokine receptor,0.005356496957732583,0.027390623505938908,0,TCGA_STAD,KEGG_2021_Human
8,Human papillomavirus infection,0.0054781247011877815,0.027390623505938908,0,TCGA_STAD,KEGG_2021_Human
9,PI3K-Akt signaling pathway,0.006596574676786956,0.029318109674608697,0,TCGA_STAD,KEGG_2021_Human
10,Phagosome,0.011997583236434258,0.0464009763187067,0,TCGA_STAD,KEGG_2021_Human
1,Extracellular Structure Organization (GO:0043062),5.660610305750462e-06,0.0009890925365632435,0,TCGA_STAD,GO_Biological_Process_2023
2,External Encapsulating Structure Organization (GO:0045229),5.8699853801972905e-06,0.0009890925365632435,0,TCGA_STAD,GO_Biological_Process_2023
3,Extracellular Matrix Disassembly (GO:0022617),1.4857615594009506e-05,0.0014326933805721659,0,TCGA_STAD,GO_Biological_Process_2023
4,Cellular Component Disassembly (GO:0022411),1.700526267741443e-05,0.0014326933805721659,0,TCGA_STAD,GO_Biological_Process_2023
5,Response To Vitamin D (GO:0033280),3.2210818955169004e-05,0.0019203788304320403,0,TCGA_STAD,GO_Biological_Process_2023
6,Extracellular Matrix Organization (GO:0030198),3.745275364886765e-05,0.0019203788304320403,0,TCGA_STAD,GO_Biological_Process_2023
7,Positive Regulation Of Cell Junction Assembly (GO:1901890),3.9889174519359884e-05,0.0019203788304320403,0,TCGA_STAD,GO_Biological_Process_2023
8,Cellular Response To Lipid (GO:0071396),0.00010239747190200048,0.0039042711120828135,0,TCGA_STAD,GO_Biological_Process_2023
9,Regulation Of Non-Canonical Wnt Signaling Pathway (GO:2000050),0.00010426836797847276,0.0039042711120828135,0,TCGA_STAD,GO_Biological_Process_2023
10,Positive Regulation Of Focal Adhesion Assembly (GO:0051894),0.00017484233445803956,0.005892186671235934,0,TCGA_STAD,GO_Biological_Process_2023
1,TGF-beta signaling pathway,0.05051411613720297,0.11149817820521252,0,TCGA_THCA,KEGG_2021_Human
2,Viral protein interaction with cytokine and cytokine receptor,0.05365825675086383,0.11149817820521252,0,TCGA_THCA,KEGG_2021_Human
3,NF-kappa B signaling pathway,0.05574908910260626,0.11149817820521252,0,TCGA_THCA,KEGG_2021_Human
4,Chemokine signaling pathway,0.1006980759679046,0.12860492005188795,0,TCGA_THCA,KEGG_2021_Human
5,Proteoglycans in cancer,0.10717076670990663,0.12860492005188795,0,TCGA_THCA,KEGG_2021_Human
6,Cytokine-cytokine receptor interaction,0.1508328504724236,0.1508328504724236,0,TCGA_THCA,KEGG_2021_Human
1,Positive Regulation Of Membrane Depolarization (GO:1904181),4.119955371667932e-06,0.0008940303156519412,0,TCGA_THCA,GO_Biological_Process_2023
2,Regulation Of Mitochondrial Depolarization (GO:0051900),1.234519196297719e-05,0.0013394533279830253,0,TCGA_THCA,GO_Biological_Process_2023
3,Regulation Of T Cell Migration (GO:2000404),6.9138361411835e-05,0.0050010081421227315,0,TCGA_THCA,GO_Biological_Process_2023
4,Negative Regulation Of Cell-Matrix Adhesion (GO:0001953),0.00012676847134630674,0.006877189570537141,0,TCGA_THCA,GO_Biological_Process_2023
5,Negative Regulation Of Cell-Substrate Adhesion (GO:0010812),0.000201528095808739,0.008746319358099273,0,TCGA_THCA,GO_Biological_Process_2023
6,Positive Regulation Of Cell-Matrix Adhesion (GO:0001954),0.00024529265118944116,0.008871417551351455,0,TCGA_THCA,GO_Biological_Process_2023
7,Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024),0.0003455139191258262,0.010509308787741886,0,TCGA_THCA,GO_Biological_Process_2023
8,Regulation Of Focal Adhesion Assembly (GO:0051893),0.00038743995530845664,0.010509308787741886,0,TCGA_THCA,GO_Biological_Process_2023
9,Regulation Of Cell-Matrix Adhesion (GO:0001952),0.0005613009114282874,0.013205184323077475,0,TCGA_THCA,GO_Biological_Process_2023
10,Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014068),0.0006323237618724635,0.013205184323077475,0,TCGA_THCA,GO_Biological_Process_2023
